PLAYER,Conference,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
DeAndre Jordan,Western,31.7,12.7,5.1,7.1,71.4,0,0,0,2.5,5.2,48.2,3.7,10.1,13.8,1.2,1.4,0.6,1.7,2.6,41,0,5.7
DeAndre Liggins,Western,12.5,2.5,0.9,2.3,38.7,0.3,0.7,37,0.4,0.6,62.5,0.3,1.4,1.7,0.9,0.7,0.8,0.2,1.3,0,0,0.9
DeAndre' Bembry,Eastern,9.8,2.7,1.2,2.6,48,0,0.5,5.6,0.2,0.4,37.5,0.4,1.2,1.6,0.7,0.4,0.2,0.1,0.6,0,0,-1.2
DeMar DeRozan,Eastern,35.4,27.3,9.7,20.9,46.7,0.4,1.7,26.6,7.4,8.7,84.2,0.9,4.3,5.2,3.9,2.4,1.1,0.2,1.8,5,0,2
DeMarcus Cousins,Western,34.2,27,9,19.9,45.2,1.8,5,36.1,7.2,9.3,77.2,2.1,8.9,11,4.6,3.7,1.4,1.3,3.9,46,2,-0.3
DeMarre Carroll,Eastern,26.1,8.9,3.1,7.6,40,1.5,4.4,34.1,1.2,1.6,76.1,0.9,2.9,3.8,1,0.8,1.1,0.4,2,2,0,1.6
Dejounte Murray,Western,8.5,3.4,1.3,3.1,43.1,0.2,0.6,39.1,0.6,0.8,70,0.2,0.9,1.1,1.3,1,0.2,0.2,0.8,0,0,0
Delon Wright,Eastern,16.5,5.6,1.8,4.3,42.2,0.4,1.1,33.3,1.6,2,76.4,0.6,1.2,1.8,2.1,0.9,1,0.4,1.1,0,0,3.3
Demetrius Jackson,Eastern,3.4,2,0.6,0.8,75,0.2,0.2,100,0.6,1.2,50,0.4,0.4,0.8,0.6,0,0,0,0,0,0,0.2
Dennis Schroder,Eastern,31.5,17.9,6.9,15.4,45.1,1.3,3.7,34,2.8,3.2,85.5,0.5,2.6,3.1,6.3,3.3,0.9,0.2,1.9,10,0,-1
Denzel Valentine,Eastern,17.1,5.1,1.8,5.1,35.4,1.3,3.6,35.1,0.2,0.3,77.8,0.2,2.5,2.6,1.1,0.9,0.5,0.1,1.5,1,0,-0.3
Deron Williams,Eastern,25.9,11,4.1,9.4,43.8,1.3,3.7,36.3,1.4,1.7,82.6,0.2,2.1,2.3,5.6,2.2,0.5,0.1,2.2,3,0,-1.4
Derrick Favors,Western,23.7,9.5,4.1,8.3,48.7,0.1,0.2,30,1.3,2.2,61.5,1.8,4.3,6.1,1.1,1.2,0.9,0.8,2.1,6,0,1.1
Derrick Jones Jr.,Western,17,5.3,2.1,3.8,56.2,0.1,0.3,27.3,0.9,1.3,70.7,1.2,1.3,2.5,0.4,0.4,0.4,0.4,2,0,0,1
Derrick Rose,Eastern,32.5,18,7.2,15.3,47.1,0.2,0.9,21.7,3.5,4,87.4,1,2.8,3.8,4.4,2.3,0.7,0.3,1.3,2,0,-2.6
Derrick Williams,Eastern,16.1,6.1,2.2,4.9,44.3,0.6,1.9,30.9,1.2,1.8,65.2,0.4,2.2,2.6,0.6,0.6,0.3,0.1,1.2,0,0,-1.2
Devin Booker,Western,35,22.1,7.8,18.3,42.3,1.9,5.2,36.3,4.7,5.7,83.2,0.6,2.6,3.2,3.4,3.1,0.9,0.3,3.1,0,0,-2.9
Devin Harris,Western,16.7,6.7,2.1,5.2,39.9,0.9,2.7,32.8,1.6,2,82.9,0.2,1.8,2,2.1,0.9,0.7,0.1,1.6,0,0,0.6
Dewayne Dedmon,Western,17.5,5.1,2.1,3.4,62.2,0,0,0,0.9,1.2,69.9,1.7,4.8,6.5,0.6,0.8,0.5,0.8,2.4,6,0,2.5
Deyonta Davis,Western,6.6,1.6,0.7,1.3,51.1,0,0,0,0.3,0.5,55.6,0.6,1.1,1.7,0.1,0.2,0.1,0.5,1.1,0,0,-1.2
Diamond Stone,Western,3.5,1.4,0.4,1.9,23.1,0,0,0,0.6,0.6,100,0.1,0.7,0.9,0,0.3,0,0.1,0.7,0,0,-3.9
Dion Waiters,Eastern,30.1,15.8,6.1,14.4,42.4,1.8,4.7,39.5,1.8,2.8,64.6,0.4,2.9,3.3,4.3,2.2,0.9,0.4,2.1,2,0,1.8
Dirk Nowitzki,Western,26.4,14.2,5.5,12.6,43.7,1.5,3.9,37.8,1.8,2.1,87.5,0.4,6.1,6.5,1.5,0.9,0.6,0.7,2.1,8,0,-0.3
Domantas Sabonis,Western,20.1,5.9,2.4,5.9,39.9,0.6,2,32.1,0.5,0.8,65.7,0.6,3,3.6,1,1,0.5,0.4,2.5,2,0,0.2
Donatas Motiejunas,Western,14.1,4.4,1.7,4.1,41.3,0.3,1.4,23.4,0.7,1.4,51,0.8,2.2,3,0.9,0.9,0.5,0.3,1.6,0,0,-3.5
Dorian Finney-Smith,Western,20.3,4.3,1.5,4.1,37.2,0.7,2.4,29.3,0.6,0.8,75.4,0.7,2.1,2.7,0.8,0.6,0.6,0.3,1.5,0,0,-1.5
Doug McDermott,Western,22.8,9,3.4,7.5,44.7,1.2,3.2,37,1.1,1.3,84.5,0.3,2.4,2.7,0.9,0.6,0.2,0.1,1.2,1,0,-0.4
Dragan Bender,Western,13.3,3.4,1.3,3.7,35.4,0.7,2.3,27.7,0.1,0.3,36.4,0.5,1.9,2.4,0.5,0.7,0.2,0.5,1.7,1,0,-0.6
Draymond Green,Western,32.5,10.2,3.6,8.6,41.8,1.1,3.5,30.8,2,2.8,70.9,1.3,6.6,7.9,7,2.4,2,1.4,2.9,17,5,10.8
